Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
15/01/2019 08:30,15/01/2019 09:30,76
15/01/2019 09:30,15/01/2019 10:30,79
15/01/2019 10:30,15/01/2019 11:31,75
15/01/2019 11:31,15/01/2019 12:31,78
15/01/2019 12:31,15/01/2019 13:31,75
15/01/2019 13:31,15/01/2019 14:31,77
15/01/2019 14:31,15/01/2019 15:31,76
15/01/2019 15:32,15/01/2019 16:32,76
15/01/2019 16:32,15/01/2019 17:32,76
15/01/2019 17:32,15/01/2019 18:32,76
15/01/2019 18:32,15/01/2019 19:32,75
15/01/2019 19:32,15/01/2019 20:33,77
15/01/2019 20:33,15/01/2019 21:33,76
15/01/2019 21:33,15/01/2019 22:33,77
15/01/2019 22:33,15/01/2019 23:33,76
15/01/2019 23:33,16/01/2019 00:33,77
16/01/2019 00:34,16/01/2019 01:20,76
16/01/2019 01:26,16/01/2019 02:26,77
16/01/2019 02:26,16/01/2019 03:26,73
16/01/2019 03:26,16/01/2019 04:26,75
16/01/2019 04:26,16/01/2019 05:27,75
16/01/2019 05:27,16/01/2019 06:27,77
16/01/2019 06:27,16/01/2019 07:27,73
16/01/2019 07:27,16/01/2019 08:27,76
16/01/2019 08:27,16/01/2019 09:27,74
16/01/2019 09:28,16/01/2019 10:28,74
16/01/2019 10:28,16/01/2019 11:28,77
16/01/2019 11:28,16/01/2019 12:28,76
16/01/2019 12:28,16/01/2019 13:28,74
16/01/2019 13:28,16/01/2019 14:29,77
16/01/2019 14:29,16/01/2019 15:29,75
16/01/2019 15:29,16/01/2019 16:29,76
16/01/2019 16:29,16/01/2019 17:29,75
16/01/2019 17:29,16/01/2019 18:29,77
16/01/2019 18:29,16/01/2019 19:30,76
16/01/2019 19:30,16/01/2019 20:30,75
16/01/2019 20:30,16/01/2019 21:30,79
16/01/2019 21:30,16/01/2019 22:30,78
16/01/2019 22:30,16/01/2019 23:30,77
16/01/2019 23:31,17/01/2019 00:31,76
17/01/2019 00:31,17/01/2019 01:31,76
17/01/2019 01:31,17/01/2019 02:31,75
17/01/2019 02:31,17/01/2019 03:31,75
17/01/2019 03:31,17/01/2019 04:32,76
17/01/2019 04:32,17/01/2019 05:32,78
17/01/2019 05:32,17/01/2019 06:32,76
17/01/2019 06:32,17/01/2019 07:32,74
17/01/2019 07:32,17/01/2019 08:32,76
17/01/2019 08:33,17/01/2019 09:33,76
17/01/2019 09:33,17/01/2019 10:33,74
17/01/2019 10:33,17/01/2019 11:33,76
17/01/2019 11:33,17/01/2019 12:33,75
17/01/2019 12:33,17/01/2019 13:34,77
17/01/2019 13:34,17/01/2019 14:34,76
17/01/2019 14:34,17/01/2019 15:34,77
17/01/2019 15:34,17/01/2019 16:34,77
17/01/2019 16:34,17/01/2019 17:34,78
17/01/2019 17:34,17/01/2019 18:35,76
17/01/2019 18:35,17/01/2019 19:35,74
17/01/2019 19:35,17/01/2019 20:35,73
17/01/2019 20:35,17/01/2019 21:35,74
17/01/2019 21:35,17/01/2019 22:35,76
17/01/2019 22:36,17/01/2019 23:36,73
17/01/2019 23:36,18/01/2019 00:36,73
18/01/2019 00:36,18/01/2019 01:36,72
18/01/2019 01:36,18/01/2019 02:36,73
18/01/2019 02:36,18/01/2019 03:37,76
18/01/2019 03:37,18/01/2019 04:37,71
18/01/2019 04:37,18/01/2019 05:37,74
18/01/2019 05:37,18/01/2019 06:37,75
18/01/2019 06:37,18/01/2019 07:37,73
18/01/2019 07:38,18/01/2019 08:38,75
18/01/2019 08:38,18/01/2019 09:38,76
18/01/2019 09:38,18/01/2019 10:38,72
18/01/2019 10:38,18/01/2019 11:38,76
18/01/2019 11:38,18/01/2019 12:39,77
18/01/2019 12:39,18/01/2019 13:39,76
18/01/2019 13:39,18/01/2019 14:39,75
18/01/2019 14:39,18/01/2019 15:39,76
18/01/2019 15:39,18/01/2019 16:39,74
18/01/2019 16:40,18/01/2019 17:40,74
18/01/2019 17:40,18/01/2019 18:40,74
18/01/2019 18:40,18/01/2019 19:40,76
18/01/2019 19:40,18/01/2019 20:40,74
18/01/2019 20:40,18/01/2019 21:41,76
18/01/2019 21:41,18/01/2019 22:41,74
18/01/2019 22:41,18/01/2019 23:41,72
18/01/2019 23:41,19/01/2019 00:41,75
19/01/2019 00:41,19/01/2019 01:41,74
19/01/2019 01:42,19/01/2019 02:42,74
19/01/2019 02:42,19/01/2019 03:42,76
19/01/2019 03:42,19/01/2019 04:42,74
19/01/2019 04:42,19/01/2019 05:42,75
19/01/2019 05:42,19/01/2019 06:42,73
19/01/2019 06:43,19/01/2019 07:43,74
19/01/2019 07:43,19/01/2019 08:43,74
19/01/2019 08:43,19/01/2019 09:43,75
19/01/2019 09:43,19/01/2019 10:43,78
19/01/2019 10:43,19/01/2019 11:44,76
19/01/2019 11:44,19/01/2019 12:44,78
19/01/2019 12:44,19/01/2019 13:44,71
19/01/2019 13:44,19/01/2019 14:44,76
19/01/2019 14:44,19/01/2019 15:44,76
19/01/2019 15:45,19/01/2019 16:45,78
19/01/2019 16:45,19/01/2019 17:45,75
19/01/2019 17:45,19/01/2019 18:45,79
19/01/2019 18:45,19/01/2019 19:45,74
19/01/2019 19:45,19/01/2019 20:46,77
19/01/2019 20:46,19/01/2019 21:46,76
19/01/2019 21:46,19/01/2019 22:46,72
19/01/2019 22:46,19/01/2019 23:46,73
19/01/2019 23:46,20/01/2019 00:46,75
20/01/2019 00:46,20/01/2019 01:47,74
20/01/2019 01:47,20/01/2019 02:47,79
20/01/2019 02:47,20/01/2019 03:47,75
20/01/2019 03:47,20/01/2019 04:47,72
20/01/2019 04:47,20/01/2019 05:47,74
20/01/2019 05:48,20/01/2019 06:48,78
20/01/2019 06:48,20/01/2019 07:48,75
20/01/2019 07:48,20/01/2019 08:48,76
20/01/2019 08:48,20/01/2019 09:48,77
20/01/2019 09:48,20/01/2019 10:49,77
20/01/2019 10:49,20/01/2019 11:49,76
20/01/2019 11:49,20/01/2019 12:49,76
20/01/2019 12:49,20/01/2019 13:49,76
20/01/2019 13:49,20/01/2019 14:49,76
20/01/2019 14:50,20/01/2019 15:50,77
20/01/2019 15:50,20/01/2019 16:50,78
20/01/2019 16:50,20/01/2019 17:50,77
20/01/2019 17:50,20/01/2019 18:50,78
20/01/2019 18:50,20/01/2019 19:51,80
20/01/2019 19:51,20/01/2019 20:51,76
20/01/2019 20:51,20/01/2019 21:51,78
20/01/2019 21:51,20/01/2019 22:51,77
20/01/2019 22:51,20/01/2019 23:51,76
20/01/2019 23:51,21/01/2019 00:52,77
21/01/2019 00:52,21/01/2019 01:52,76
21/01/2019 01:52,21/01/2019 02:52,75
21/01/2019 02:52,21/01/2019 03:52,76
21/01/2019 03:52,21/01/2019 04:52,74
21/01/2019 04:53,21/01/2019 05:53,74
21/01/2019 05:53,21/01/2019 06:53,74
21/01/2019 06:53,21/01/2019 07:53,76
21/01/2019 07:53,21/01/2019 08:53,74
21/01/2019 08:53,21/01/2019 09:54,76
21/01/2019 09:54,21/01/2019 10:54,76
21/01/2019 10:54,21/01/2019 11:54,77
21/01/2019 11:54,21/01/2019 12:54,76
21/01/2019 12:54,21/01/2019 13:54,72
21/01/2019 13:54,21/01/2019 14:55,77
21/01/2019 14:55,21/01/2019 15:55,75
21/01/2019 15:55,21/01/2019 16:55,77
21/01/2019 16:55,21/01/2019 17:55,74
21/01/2019 17:55,21/01/2019 18:56,75
21/01/2019 18:56,21/01/2019 19:56,75
21/01/2019 19:56,21/01/2019 20:56,78
21/01/2019 20:56,21/01/2019 21:56,73
21/01/2019 21:56,21/01/2019 22:56,76
21/01/2019 22:56,21/01/2019 23:57,76
21/01/2019 23:57,22/01/2019 00:57,74
22/01/2019 00:57,22/01/2019 01:57,75
22/01/2019 01:57,22/01/2019 02:57,75
22/01/2019 02:57,22/01/2019 03:57,76
22/01/2019 03:58,22/01/2019 04:58,74
22/01/2019 04:58,22/01/2019 05:58,74
22/01/2019 05:58,22/01/2019 06:58,75
22/01/2019 06:58,22/01/2019 07:58,75
22/01/2019 07:58,22/01/2019 08:59,75
22/01/2019 08:59,22/01/2019 09:59,77
22/01/2019 09:59,22/01/2019 10:59,72
22/01/2019 10:59,22/01/2019 11:59,75
22/01/2019 11:59,22/01/2019 12:59,75
22/01/2019 12:59,22/01/2019 14:00,75
22/01/2019 14:00,22/01/2019 15:00,73
22/01/2019 15:00,22/01/2019 16:00,76
22/01/2019 16:43,22/01/2019 17:43,75
22/01/2019 17:43,22/01/2019 18:43,76
22/01/2019 18:43,22/01/2019 19:43,75
22/01/2019 19:43,22/01/2019 20:43,72
22/01/2019 20:43,22/01/2019 21:44,76
22/01/2019 21:44,22/01/2019 22:44,75
22/01/2019 22:44,22/01/2019 23:44,73
22/01/2019 23:44,23/01/2019 00:44,72
23/01/2019 00:44,23/01/2019 01:44,75
23/01/2019 01:44,23/01/2019 02:45,75
23/01/2019 02:45,23/01/2019 03:45,75
23/01/2019 03:45,23/01/2019 04:45,76
23/01/2019 04:45,23/01/2019 05:45,72
23/01/2019 05:45,23/01/2019 06:46,77
23/01/2019 06:46,23/01/2019 07:46,77
23/01/2019 07:46,23/01/2019 08:46,74
23/01/2019 08:46,23/01/2019 09:46,76
23/01/2019 09:46,23/01/2019 10:46,72
23/01/2019 10:46,23/01/2019 11:47,75
23/01/2019 11:47,23/01/2019 12:47,78
23/01/2019 12:47,23/01/2019 13:47,75
23/01/2019 13:47,23/01/2019 14:47,76
23/01/2019 14:47,23/01/2019 15:47,77
23/01/2019 15:48,23/01/2019 16:48,73
23/01/2019 16:48,23/01/2019 17:48,75
23/01/2019 17:48,23/01/2019 18:48,75
23/01/2019 18:48,23/01/2019 19:48,73
23/01/2019 19:48,23/01/2019 20:49,77
23/01/2019 20:49,23/01/2019 21:49,72
23/01/2019 21:49,23/01/2019 22:49,74
23/01/2019 22:49,23/01/2019 23:49,75
23/01/2019 23:49,24/01/2019 00:49,76
24/01/2019 00:49,24/01/2019 01:50,75
24/01/2019 01:50,24/01/2019 02:50,74
24/01/2019 02:50,24/01/2019 03:50,76
24/01/2019 03:50,24/01/2019 04:50,76
24/01/2019 04:50,24/01/2019 05:50,76
24/01/2019 05:51,24/01/2019 06:51,75
24/01/2019 06:51,24/01/2019 07:51,78
24/01/2019 07:51,24/01/2019 08:51,80
24/01/2019 08:51,24/01/2019 09:51,77
24/01/2019 09:51,24/01/2019 10:52,79
24/01/2019 10:52,24/01/2019 11:52,80
24/01/2019 11:52,24/01/2019 12:52,76
24/01/2019 12:52,24/01/2019 13:52,76
24/01/2019 13:52,24/01/2019 14:52,75
24/01/2019 14:52,24/01/2019 15:53,75
24/01/2019 15:53,24/01/2019 16:53,76
24/01/2019 16:53,24/01/2019 17:53,79
24/01/2019 17:53,24/01/2019 18:53,78
24/01/2019 18:53,24/01/2019 19:53,75
24/01/2019 19:54,24/01/2019 20:54,77
24/01/2019 20:54,24/01/2019 21:54,75
24/01/2019 21:54,24/01/2019 22:54,75
24/01/2019 22:54,24/01/2019 23:54,78
24/01/2019 23:54,25/01/2019 00:55,74
25/01/2019 00:55,25/01/2019 01:55,74
25/01/2019 01:55,25/01/2019 02:55,76
25/01/2019 02:55,25/01/2019 03:55,76
25/01/2019 03:55,25/01/2019 04:55,76
25/01/2019 04:56,25/01/2019 05:56,76
25/01/2019 05:56,25/01/2019 06:56,76
25/01/2019 06:56,25/01/2019 07:56,76
25/01/2019 07:56,25/01/2019 08:56,77
25/01/2019 08:56,25/01/2019 09:57,74
25/01/2019 09:57,25/01/2019 10:57,76
25/01/2019 10:57,25/01/2019 11:57,78
25/01/2019 11:57,25/01/2019 12:57,76
25/01/2019 12:57,25/01/2019 13:57,77
25/01/2019 13:57,25/01/2019 14:58,79
25/01/2019 14:58,25/01/2019 15:58,75
25/01/2019 15:58,25/01/2019 16:58,77
25/01/2019 16:58,25/01/2019 17:58,78
25/01/2019 17:58,25/01/2019 18:58,75
