Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
21/01/2019 02:26,21/01/2019 03:26,37
21/01/2019 03:27,21/01/2019 04:27,37
21/01/2019 04:27,21/01/2019 05:27,38
21/01/2019 05:27,21/01/2019 06:27,39
21/01/2019 06:27,21/01/2019 07:27,38
21/01/2019 07:27,21/01/2019 08:28,40
21/01/2019 08:28,21/01/2019 09:28,37
21/01/2019 09:28,21/01/2019 10:28,38
21/01/2019 10:28,21/01/2019 11:28,39
21/01/2019 11:28,21/01/2019 12:29,38
21/01/2019 12:29,21/01/2019 13:29,38
21/01/2019 13:53,21/01/2019 14:53,39
21/01/2019 14:54,21/01/2019 15:54,38
21/01/2019 15:54,21/01/2019 16:54,38
21/01/2019 16:54,21/01/2019 17:54,37
21/01/2019 17:54,21/01/2019 18:54,37
21/01/2019 18:54,21/01/2019 19:55,36
21/01/2019 19:55,21/01/2019 20:55,38
21/01/2019 20:55,21/01/2019 21:55,38
21/01/2019 21:55,21/01/2019 22:55,38
21/01/2019 22:55,21/01/2019 23:55,38
21/01/2019 23:56,22/01/2019 00:56,37
22/01/2019 00:56,22/01/2019 01:56,37
22/01/2019 01:56,22/01/2019 02:56,38
22/01/2019 02:56,22/01/2019 03:56,38
22/01/2019 03:56,22/01/2019 04:57,38
22/01/2019 04:57,22/01/2019 05:57,38
22/01/2019 05:57,22/01/2019 06:57,38
22/01/2019 06:57,22/01/2019 07:57,40
22/01/2019 07:57,22/01/2019 08:58,38
22/01/2019 08:58,22/01/2019 09:58,38
22/01/2019 09:58,22/01/2019 10:58,39
22/01/2019 10:58,22/01/2019 11:58,39
22/01/2019 11:58,22/01/2019 12:58,41
22/01/2019 12:59,22/01/2019 13:59,39
22/01/2019 13:59,22/01/2019 14:59,39
22/01/2019 14:59,22/01/2019 15:59,38
22/01/2019 15:59,22/01/2019 16:59,41
22/01/2019 16:59,22/01/2019 18:00,39
22/01/2019 18:00,22/01/2019 19:00,38
22/01/2019 19:00,22/01/2019 20:00,38
22/01/2019 20:00,22/01/2019 21:00,39
22/01/2019 21:00,22/01/2019 22:00,40
22/01/2019 22:01,22/01/2019 23:01,40
22/01/2019 23:01,23/01/2019 00:01,40
23/01/2019 00:01,23/01/2019 01:01,39
23/01/2019 01:01,23/01/2019 02:01,39
23/01/2019 02:01,23/01/2019 03:02,40
23/01/2019 03:02,23/01/2019 04:02,42
23/01/2019 04:02,23/01/2019 05:02,46
23/01/2019 05:02,23/01/2019 06:02,49
23/01/2019 06:02,23/01/2019 07:02,46
23/01/2019 07:03,23/01/2019 08:03,44
23/01/2019 08:03,23/01/2019 09:03,41
23/01/2019 09:03,23/01/2019 10:03,40
23/01/2019 10:03,23/01/2019 11:03,38
23/01/2019 11:03,23/01/2019 12:04,39
23/01/2019 12:04,23/01/2019 13:04,38
23/01/2019 13:04,23/01/2019 14:04,39
23/01/2019 14:04,23/01/2019 15:04,39
23/01/2019 15:04,23/01/2019 16:05,39
23/01/2019 16:05,23/01/2019 17:05,37
23/01/2019 17:05,23/01/2019 18:05,37
23/01/2019 18:05,23/01/2019 19:05,39
23/01/2019 19:05,23/01/2019 20:05,37
23/01/2019 20:06,23/01/2019 21:06,39
23/01/2019 21:06,23/01/2019 22:06,39
23/01/2019 22:06,23/01/2019 23:06,38
23/01/2019 23:06,24/01/2019 00:06,39
24/01/2019 00:06,24/01/2019 01:07,38
24/01/2019 01:07,24/01/2019 02:07,39
24/01/2019 02:07,24/01/2019 03:07,37
24/01/2019 03:07,24/01/2019 04:07,38
24/01/2019 04:07,24/01/2019 05:07,38
24/01/2019 05:08,24/01/2019 06:08,38
24/01/2019 06:08,24/01/2019 07:08,40
24/01/2019 07:08,24/01/2019 08:08,39
24/01/2019 08:08,24/01/2019 09:08,40
24/01/2019 09:08,24/01/2019 10:09,39
24/01/2019 10:09,24/01/2019 11:09,41
24/01/2019 11:09,24/01/2019 12:09,39
24/01/2019 12:09,24/01/2019 13:09,40
24/01/2019 13:09,24/01/2019 14:10,42
24/01/2019 14:16,24/01/2019 15:16,40
24/01/2019 15:16,24/01/2019 16:16,40
24/01/2019 16:16,24/01/2019 17:16,40
24/01/2019 17:17,24/01/2019 18:17,41
24/01/2019 18:17,24/01/2019 19:17,39
24/01/2019 19:17,24/01/2019 20:17,39
24/01/2019 20:17,24/01/2019 21:17,40
24/01/2019 21:17,24/01/2019 22:18,41
24/01/2019 22:18,24/01/2019 23:18,41
24/01/2019 23:18,25/01/2019 00:18,40
25/01/2019 00:18,25/01/2019 01:18,40
25/01/2019 01:18,25/01/2019 02:19,39
25/01/2019 02:19,25/01/2019 03:19,37
25/01/2019 03:19,25/01/2019 04:19,37
25/01/2019 04:19,25/01/2019 05:19,37
