Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
14/01/2019 08:25,14/01/2019 09:25,
14/01/2019 09:25,14/01/2019 10:26,
14/01/2019 10:26,14/01/2019 11:26,
14/01/2019 11:26,14/01/2019 12:26,
14/01/2019 12:26,14/01/2019 13:26,
14/01/2019 13:26,14/01/2019 14:26,
14/01/2019 14:27,14/01/2019 15:27,
14/01/2019 15:27,14/01/2019 16:27,
14/01/2019 16:27,14/01/2019 17:27,
14/01/2019 17:27,14/01/2019 18:27,55
14/01/2019 18:28,14/01/2019 19:28,53
14/01/2019 19:28,14/01/2019 20:28,53
14/01/2019 20:28,14/01/2019 21:28,54
14/01/2019 21:28,14/01/2019 22:28,56
14/01/2019 22:28,14/01/2019 23:29,
14/01/2019 23:29,15/01/2019 00:29,
15/01/2019 00:29,15/01/2019 01:29,
15/01/2019 01:29,15/01/2019 02:29,
15/01/2019 02:29,15/01/2019 03:29,
15/01/2019 03:30,15/01/2019 04:30,
15/01/2019 04:30,15/01/2019 05:30,
15/01/2019 05:30,15/01/2019 06:30,
15/01/2019 06:30,15/01/2019 07:30,
15/01/2019 07:31,15/01/2019 08:31,
15/01/2019 08:31,15/01/2019 09:31,
15/01/2019 09:31,15/01/2019 10:31,
15/01/2019 10:31,15/01/2019 11:10,
15/01/2019 11:16,15/01/2019 12:16,
15/01/2019 12:17,15/01/2019 13:17,
15/01/2019 13:17,15/01/2019 14:17,
15/01/2019 14:17,15/01/2019 15:17,
15/01/2019 15:17,15/01/2019 16:17,
15/01/2019 16:17,15/01/2019 17:18,57
15/01/2019 17:18,15/01/2019 18:18,53
15/01/2019 18:18,15/01/2019 19:18,57
15/01/2019 19:18,15/01/2019 20:18,57
15/01/2019 20:18,15/01/2019 21:19,55
15/01/2019 21:19,15/01/2019 22:19,57
15/01/2019 22:19,15/01/2019 23:19,64
15/01/2019 23:19,16/01/2019 00:19,60
16/01/2019 00:19,16/01/2019 01:19,61
16/01/2019 01:20,16/01/2019 02:20,60
16/01/2019 02:20,16/01/2019 03:20,63
16/01/2019 03:20,16/01/2019 04:20,61
16/01/2019 04:20,16/01/2019 05:20,64
16/01/2019 05:20,16/01/2019 06:21,63
16/01/2019 06:21,16/01/2019 07:21,66
16/01/2019 07:21,16/01/2019 08:21,69
16/01/2019 08:21,16/01/2019 09:21,67
16/01/2019 09:21,16/01/2019 10:22,62
16/01/2019 10:22,16/01/2019 11:22,66
16/01/2019 11:22,16/01/2019 12:22,65
16/01/2019 12:22,16/01/2019 13:22,72
16/01/2019 13:22,16/01/2019 14:22,63
16/01/2019 14:23,16/01/2019 15:23,64
16/01/2019 15:23,16/01/2019 16:23,56
16/01/2019 16:23,16/01/2019 17:23,59
16/01/2019 17:23,16/01/2019 18:23,59
16/01/2019 18:23,16/01/2019 19:24,55
16/01/2019 19:24,16/01/2019 20:24,55
16/01/2019 20:24,16/01/2019 21:24,51
16/01/2019 21:24,16/01/2019 22:24,57
16/01/2019 22:24,16/01/2019 23:25,55
16/01/2019 23:25,17/01/2019 00:25,58
17/01/2019 00:25,17/01/2019 01:25,58
17/01/2019 01:25,17/01/2019 02:25,58
17/01/2019 02:25,17/01/2019 03:25,55
17/01/2019 03:26,17/01/2019 04:26,58
17/01/2019 04:26,17/01/2019 05:26,53
17/01/2019 05:26,17/01/2019 06:26,59
17/01/2019 06:26,17/01/2019 07:26,57
17/01/2019 07:26,17/01/2019 08:27,58
17/01/2019 08:27,17/01/2019 09:27,59
17/01/2019 09:27,17/01/2019 10:27,61
17/01/2019 10:27,17/01/2019 11:27,60
17/01/2019 11:27,17/01/2019 12:28,60
17/01/2019 12:28,17/01/2019 13:28,59
17/01/2019 13:28,17/01/2019 14:28,62
17/01/2019 14:28,17/01/2019 15:28,56
17/01/2019 15:28,17/01/2019 16:29,57
17/01/2019 16:29,17/01/2019 17:29,62
17/01/2019 17:29,17/01/2019 18:29,56
17/01/2019 18:29,17/01/2019 19:29,61
17/01/2019 19:29,17/01/2019 20:29,59
17/01/2019 20:30,17/01/2019 21:30,60
17/01/2019 21:30,17/01/2019 22:30,62
17/01/2019 22:30,17/01/2019 23:30,61
17/01/2019 23:30,18/01/2019 00:30,69
18/01/2019 00:30,18/01/2019 01:31,73
18/01/2019 01:31,18/01/2019 02:31,66
18/01/2019 02:31,18/01/2019 03:31,62
18/01/2019 03:31,18/01/2019 04:31,66
18/01/2019 04:31,18/01/2019 05:32,74
18/01/2019 05:32,18/01/2019 06:32,69
18/01/2019 06:32,18/01/2019 07:32,72
18/01/2019 07:32,18/01/2019 08:32,67
