Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
14/02/2019 01:45,14/02/2019 02:45,95
14/02/2019 02:45,14/02/2019 03:45,92
14/02/2019 03:45,14/02/2019 04:45,93
14/02/2019 04:45,14/02/2019 05:45,96
14/02/2019 05:46,14/02/2019 06:46,94
14/02/2019 06:46,14/02/2019 07:46,93
14/02/2019 07:46,14/02/2019 08:46,92
14/02/2019 08:46,14/02/2019 09:46,91
14/02/2019 09:46,14/02/2019 10:47,91
14/02/2019 10:47,14/02/2019 11:47,91
14/02/2019 11:47,14/02/2019 12:47,92
14/02/2019 12:47,14/02/2019 13:47,96
14/02/2019 13:47,14/02/2019 14:48,94
14/02/2019 14:48,14/02/2019 15:48,90
14/02/2019 15:48,14/02/2019 16:48,91
14/02/2019 16:48,14/02/2019 17:48,91
14/02/2019 17:48,14/02/2019 18:48,92
14/02/2019 18:48,14/02/2019 19:49,89
14/02/2019 19:49,14/02/2019 20:49,93
14/02/2019 20:49,14/02/2019 21:49,92
14/02/2019 21:49,14/02/2019 22:49,90
14/02/2019 22:49,14/02/2019 23:50,88
14/02/2019 23:50,15/02/2019 00:50,92
15/02/2019 00:50,15/02/2019 01:50,90
15/02/2019 01:50,15/02/2019 02:50,90
15/02/2019 02:50,15/02/2019 03:50,91
15/02/2019 03:51,15/02/2019 04:51,90
15/02/2019 04:51,15/02/2019 05:51,91
15/02/2019 05:51,15/02/2019 06:51,91
15/02/2019 06:51,15/02/2019 07:51,90
15/02/2019 07:51,15/02/2019 08:52,89
15/02/2019 08:52,15/02/2019 09:52,94
15/02/2019 09:52,15/02/2019 10:52,90
15/02/2019 10:52,15/02/2019 11:52,88
15/02/2019 11:52,15/02/2019 12:52,92
15/02/2019 12:53,15/02/2019 13:53,90
15/02/2019 13:53,15/02/2019 14:53,89
15/02/2019 14:53,15/02/2019 15:53,92
15/02/2019 15:53,15/02/2019 16:53,91
15/02/2019 16:53,15/02/2019 17:54,90
15/02/2019 17:54,15/02/2019 18:54,89
15/02/2019 18:54,15/02/2019 19:54,93
15/02/2019 19:54,15/02/2019 20:54,89
15/02/2019 20:54,15/02/2019 21:54,86
15/02/2019 21:55,15/02/2019 22:55,92
15/02/2019 22:55,15/02/2019 23:55,90
15/02/2019 23:55,16/02/2019 00:55,89
16/02/2019 00:55,16/02/2019 01:55,89
16/02/2019 01:55,16/02/2019 02:56,93
16/02/2019 02:56,16/02/2019 03:56,92
16/02/2019 03:56,16/02/2019 04:56,88
16/02/2019 04:56,16/02/2019 05:56,89
16/02/2019 05:56,16/02/2019 06:57,92
16/02/2019 06:57,16/02/2019 07:57,91
16/02/2019 07:57,16/02/2019 08:57,87
16/02/2019 08:57,16/02/2019 09:57,88
16/02/2019 09:57,16/02/2019 10:57,89
16/02/2019 10:57,16/02/2019 11:58,88
16/02/2019 11:58,16/02/2019 12:58,91
16/02/2019 12:58,16/02/2019 13:58,92
16/02/2019 13:58,16/02/2019 14:58,94
16/02/2019 14:58,16/02/2019 15:59,88
16/02/2019 15:59,16/02/2019 16:59,89
16/02/2019 16:59,16/02/2019 17:59,89
16/02/2019 17:59,16/02/2019 18:59,88
16/02/2019 18:59,16/02/2019 19:59,87
16/02/2019 19:59,16/02/2019 21:00,88
16/02/2019 21:00,16/02/2019 22:00,88
16/02/2019 22:00,16/02/2019 23:00,85
16/02/2019 23:00,17/02/2019 00:00,94
17/02/2019 00:00,17/02/2019 01:01,86
17/02/2019 01:01,17/02/2019 02:01,84
17/02/2019 02:01,17/02/2019 03:01,87
17/02/2019 03:01,17/02/2019 04:01,87
17/02/2019 04:01,17/02/2019 05:01,88
17/02/2019 05:02,17/02/2019 06:02,87
17/02/2019 06:02,17/02/2019 07:02,87
17/02/2019 07:02,17/02/2019 08:02,90
17/02/2019 08:02,17/02/2019 09:02,91
17/02/2019 09:02,17/02/2019 10:03,90
17/02/2019 10:03,17/02/2019 11:03,89
17/02/2019 11:03,17/02/2019 12:03,87
17/02/2019 12:03,17/02/2019 13:03,91
17/02/2019 13:03,17/02/2019 14:03,92
17/02/2019 14:04,17/02/2019 15:04,92
17/02/2019 15:04,17/02/2019 16:04,92
17/02/2019 16:04,17/02/2019 17:04,89
17/02/2019 17:04,17/02/2019 18:04,88
17/02/2019 18:04,17/02/2019 19:05,87
17/02/2019 19:05,17/02/2019 20:05,90
17/02/2019 20:05,17/02/2019 21:05,92
17/02/2019 21:05,17/02/2019 22:05,87
17/02/2019 22:05,17/02/2019 23:05,85
17/02/2019 23:06,18/02/2019 00:06,90
18/02/2019 00:06,18/02/2019 01:06,85
18/02/2019 01:06,18/02/2019 02:06,91
18/02/2019 02:06,18/02/2019 03:06,94
18/02/2019 03:06,18/02/2019 04:07,93
18/02/2019 04:07,18/02/2019 05:07,93
18/02/2019 05:07,18/02/2019 06:07,91
18/02/2019 06:07,18/02/2019 07:07,91
18/02/2019 07:07,18/02/2019 08:08,90
18/02/2019 08:08,18/02/2019 09:08,94
18/02/2019 09:08,18/02/2019 10:08,100
18/02/2019 10:08,18/02/2019 11:08,98
18/02/2019 11:08,18/02/2019 12:08,98
18/02/2019 12:08,18/02/2019 13:09,92
18/02/2019 13:09,18/02/2019 14:09,87
18/02/2019 14:09,18/02/2019 15:09,88
18/02/2019 15:09,18/02/2019 16:09,87
18/02/2019 16:09,18/02/2019 17:10,88
18/02/2019 17:10,18/02/2019 18:10,97
18/02/2019 18:10,18/02/2019 19:10,95
18/02/2019 19:10,18/02/2019 20:10,96
18/02/2019 20:10,18/02/2019 21:10,90
18/02/2019 21:11,18/02/2019 22:11,92
18/02/2019 22:11,18/02/2019 23:11,93
18/02/2019 23:11,19/02/2019 00:11,92
19/02/2019 00:11,19/02/2019 01:11,92
19/02/2019 01:11,19/02/2019 02:12,90
19/02/2019 02:12,19/02/2019 03:12,93
19/02/2019 03:12,19/02/2019 04:12,91
19/02/2019 04:12,19/02/2019 05:12,90
19/02/2019 05:12,19/02/2019 06:12,92
19/02/2019 06:13,19/02/2019 07:13,89
19/02/2019 07:13,19/02/2019 08:13,90
19/02/2019 08:13,19/02/2019 09:13,88
19/02/2019 09:13,19/02/2019 10:13,90
19/02/2019 10:13,19/02/2019 11:14,91
19/02/2019 11:14,19/02/2019 12:14,89
19/02/2019 12:14,19/02/2019 13:14,96
19/02/2019 13:14,19/02/2019 14:14,93
19/02/2019 14:27,19/02/2019 15:27,96
19/02/2019 15:27,19/02/2019 16:28,91
19/02/2019 16:28,19/02/2019 17:28,87
